GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037218110,2181.1,3167
1400000U,6037218120,2181.2,3571
1400000U,6037218210,2182.1,4124
1400000U,6037218220,2182.2,4042
1400000U,6037218300,2183,4811
1400000U,6037218400,2184,3996
1400000U,6037218500,2185,2739
1400000U,6037218600,2186,3129
1400000U,6037218701,2187.01,1880
1400000U,6037218702,2187.02,2705
1400000U,6037218800,2188,2732
1400000U,6037218900,2189,5444
1400000U,6037219010,2190.1,3214
1400000U,6037219020,2190.2,4326
1400000U,6037219300,2193,3772
1400000U,6037219500,2195,1965
1400000U,6037219700,2197,4198
1400000U,6037219800,2198,3033
1400000U,6037219901,2199.01,5206
1400000U,6037219902,2199.02,3509
1400000U,6037220000,2200,4505
1400000U,6037220100,2201,2463
1400000U,6037221110,2211.1,3037
1400000U,6037221120,2211.2,2946
1400000U,6037221210,2212.1,2945
1400000U,6037221220,2212.2,2752
1400000U,6037221302,2213.02,3259
1400000U,6037221303,2213.03,2531
1400000U,6037221304,2213.04,3707
1400000U,6037221401,2214.01,2965
1400000U,6037221402,2214.02,2965
1400000U,6037221500,2215,3527
1400000U,6037221601,2216.01,3264
1400000U,6037221602,2216.02,2223
1400000U,6037221710,2217.1,2658
1400000U,6037221810,2218.1,2433
1400000U,6037221820,2218.2,2529
1400000U,6037221900,2219,4572
1400000U,6037222001,2220.01,2837
1400000U,6037222002,2220.02,4719
1400000U,6037222100,2221,4086
1400000U,6037222200,2222,3642
1400000U,6037222500,2225,4194
1400000U,6037222600,2226,5268
1400000U,6037222700,2227,4316
1400000U,6037224010,2240.1,2974
1400000U,6037224020,2240.2,2816
1400000U,6037224200,2242,2174
1400000U,6037224310,2243.1,1779
1400000U,6037224320,2243.2,3593
1400000U,6037224410,2244.1,2783
1400000U,6037224420,2244.2,2168
1400000U,6037224600,2246,3078
1400000U,6037224701,2247.01,2463
1400000U,6037224702,2247.02,2508
1400000U,6037226001,2260.01,2027
1400000U,6037226002,2260.02,1873
1400000U,6037226410,2264.1,3561
1400000U,6037226420,2264.2,5225
1400000U,6037226701,2267.01,2518
1400000U,6037226702,2267.02,3993
1400000U,6037227010,2270.1,4279
1400000U,6037227020,2270.2,3506
1400000U,6037228100,2281,4392
1400000U,6037228210,2282.1,3801
1400000U,6037228220,2282.2,4470
1400000U,6037228310,2283.1,4493
